0,1,3
0,5,2
0,6,3
0,7,3
0,8,5
0,10,3
0,12,4
0,13,4
0,14,2
0,17,2
0,19,5
1,2,4
1,4,3
1,5,4
1,7,4
1,8,3
1,11,3
1,12,4
1,13,3
1,15,2
2,2,3
2,4,5
2,5,2
2,6,4
2,7,2
2,8,5
2,9,2
2,12,4
2,13,4
2,14,2
2,15,4
2,16,3
2,17,2
2,18,2
2,19,5
3,1,3
3,2,3
3,3,3
3,4,1
3,5,5
3,7,4
3,8,1
3,10,3
3,11,1
3,12,3
3,14,4
3,15,2
3,16,4
3,17,5
3,19,1
4,4,3
4,10,3
4,12,2
4,15,3
4,16,3
4,18,4
4,19,2
5,0,3
5,1,3
5,4,5
5,5,2
5,7,2
5,11,4
5,12,3
5,13,4
5,16,3
5,18,2
5,19,4
6,0,3
6,1,3
6,2,4
6,3,3
6,11,4
6,13,4
6,15,4
6,17,2
7,1,3
7,2,4
7,3,3
7,4,4
7,10,3
7,13,4
7,14,3
7,15,3
7,16,3
7,18,2
8,0,3
8,1,3
8,3,3
8,5,2
8,8,4
8,19,3
9,0,3
9,4,2
9,6,3
9,8,2
9,11,2
9,14,4
9,16,3
9,17,4
